date,time,sender,receiver,message,timestamp,message_raw,contact_name,is_user_sender,message_length,word_count,day_of_week,hour,is_weekend,prev_time,inactivity_hours
12/02/2026,10:51 am,You,Alex,send the deployment logs.,2026-02-12 10:51:00,Send the deployment logs. (#10003),Alex,True,25,4,Thursday,10,False,,0.0
12/02/2026,11:05 am,You,Alex,finalize the project proposal.,2026-02-12 11:05:00,Finalize the project proposal. (#10010),Alex,True,30,4,Thursday,11,False,2026-02-12 10:51:00,0.23333333333333334
12/02/2026,11:15 am,You,Alex,"hey there, let's grab coffee tomorrow?",2026-02-12 11:15:00,"Hey there, let's grab coffee tomorrow? (#10015)",Alex,True,38,6,Thursday,11,False,2026-02-12 11:05:00,0.16666666666666666
12/02/2026,12:01 pm,Alex,You,check the project proposal.,2026-02-12 12:01:00,Check the project proposal. (#10038),Alex,False,27,4,Thursday,12,False,2026-02-12 11:15:00,0.7666666666666667
12/02/2026,12:07 pm,You,Alex,"hey, did you see lol 😂",2026-02-12 12:07:00,"Hey, did you see lol 😂 (#10041)",Alex,True,22,6,Thursday,12,False,2026-02-12 12:01:00,0.1
12/02/2026,12:19 pm,You,Alex,verify the api documentation.,2026-02-12 12:19:00,Verify the API documentation. (#10047),Alex,True,29,4,Thursday,12,False,2026-02-12 12:07:00,0.2
12/02/2026,12:31 pm,You,Alex,submit the meeting minutes.,2026-02-12 12:31:00,Submit the meeting minutes. (#10053),Alex,True,27,4,Thursday,12,False,2026-02-12 12:19:00,0.2
12/02/2026,12:33 pm,You,Alex,"by the way, did you see soon.",2026-02-12 12:33:00,"By the way, did you see soon. (#10054)",Alex,True,29,7,Thursday,12,False,2026-02-12 12:31:00,0.03333333333333333
12/02/2026,12:39 pm,You,Alex,review the api documentation.,2026-02-12 12:39:00,Review the API documentation. (#10057),Alex,True,29,4,Thursday,12,False,2026-02-12 12:33:00,0.1
12/02/2026,01:07 pm,You,Alex,"bro, see you at at the spot.",2026-02-12 13:07:00,"Bro, see you at at the spot. (#10071)",Alex,True,28,7,Thursday,13,False,2026-02-12 12:39:00,0.4666666666666667
12/02/2026,01:09 pm,You,Alex,approve the roadmap.,2026-02-12 13:09:00,Approve the roadmap. (#10072),Alex,True,20,3,Thursday,13,False,2026-02-12 13:07:00,0.03333333333333333
12/02/2026,01:13 pm,Alex,You,submit the client feedback.,2026-02-12 13:13:00,Submit the client feedback. (#10074),Alex,False,27,4,Thursday,13,False,2026-02-12 13:09:00,0.06666666666666667
12/02/2026,01:15 pm,Alex,You,send the api documentation.,2026-02-12 13:15:00,Send the API documentation. (#10075),Alex,False,27,4,Thursday,13,False,2026-02-12 13:13:00,0.03333333333333333
12/02/2026,01:19 pm,You,Alex,"quick question, that was crazy later.",2026-02-12 13:19:00,"Quick question, that was crazy later. (#10077)",Alex,True,37,6,Thursday,13,False,2026-02-12 13:15:00,0.06666666666666667
12/02/2026,01:23 pm,You,Alex,"dude, that was crazy later.",2026-02-12 13:23:00,"Dude, that was crazy later. (#10079)",Alex,True,27,5,Thursday,13,False,2026-02-12 13:19:00,0.06666666666666667
12/02/2026,01:25 pm,Alex,You,"quick question, are you free tonight!",2026-02-12 13:25:00,"Quick question, are you free tonight! (#10080)",Alex,False,37,6,Thursday,13,False,2026-02-12 13:23:00,0.03333333333333333
12/02/2026,01:49 pm,Alex,You,submit the client feedback.,2026-02-12 13:49:00,Submit the client feedback. (#10092),Alex,False,27,4,Thursday,13,False,2026-02-12 13:25:00,0.4
12/02/2026,02:15 pm,You,Alex,"bro, are you free asap.",2026-02-12 14:15:00,"Bro, are you free ASAP. (#10105)",Alex,True,23,5,Thursday,14,False,2026-02-12 13:49:00,0.43333333333333335
12/02/2026,02:19 pm,Alex,You,"yo, are you free tomorrow?",2026-02-12 14:19:00,"Yo, are you free tomorrow? (#10107)",Alex,False,26,5,Thursday,14,False,2026-02-12 14:15:00,0.06666666666666667
12/02/2026,02:37 pm,You,Alex,"hey, that was crazy shortly.",2026-02-12 14:37:00,"Hey, that was crazy shortly. (#10116)",Alex,True,28,5,Thursday,14,False,2026-02-12 14:19:00,0.3
12/02/2026,02:43 pm,You,Alex,verify the deployment logs.,2026-02-12 14:43:00,Verify the deployment logs. (#10119),Alex,True,27,4,Thursday,14,False,2026-02-12 14:37:00,0.1
12/02/2026,02:51 pm,Alex,You,"hey there, are you free at the spot.",2026-02-12 14:51:00,"Hey there, are you free at the spot. (#10123)",Alex,False,36,8,Thursday,14,False,2026-02-12 14:43:00,0.13333333333333333
12/02/2026,02:55 pm,Alex,You,submit the deployment logs.,2026-02-12 14:55:00,Submit the deployment logs. (#10125),Alex,False,27,4,Thursday,14,False,2026-02-12 14:51:00,0.06666666666666667
12/02/2026,03:51 pm,You,Alex,"dude, see you at later.",2026-02-12 15:51:00,"Dude, see you at later. (#10153)",Alex,True,23,5,Thursday,15,False,2026-02-12 14:55:00,0.9333333333333333
12/02/2026,04:01 pm,Alex,You,reschedule the invoice.,2026-02-12 16:01:00,Reschedule the invoice. (#10158),Alex,False,23,3,Thursday,16,False,2026-02-12 15:51:00,0.16666666666666666
12/02/2026,04:41 pm,You,Alex,submit the meeting minutes.,2026-02-12 16:41:00,Submit the meeting minutes. (#10178),Alex,True,27,4,Thursday,16,False,2026-02-12 16:01:00,0.6666666666666666
12/02/2026,04:55 pm,Alex,You,reschedule the deployment logs.,2026-02-12 16:55:00,Reschedule the deployment logs. (#10185),Alex,False,31,4,Thursday,16,False,2026-02-12 16:41:00,0.23333333333333334
12/02/2026,05:15 pm,You,Alex,"dude, let's grab coffee tomorrow?",2026-02-12 17:15:00,"Dude, let's grab coffee tomorrow? (#10195)",Alex,True,33,5,Thursday,17,False,2026-02-12 16:55:00,0.3333333333333333
